Model,Candidate,CV_AUC_Mean,CV_AUC_STD,CV_AP_Mean,CV_Brier_Mean,CV_ECE_Mean,hidden_dim,lr,weight_decay,batch_size,CV_Folds,C,n_estimators,max_depth,min_samples_leaf,Used_for_Explanations,Explanation_Eligible,Model_Role,Test_AUC,Test_AP,Test_Brier,Test_ECE
MLP,"MLP(h=64,  lr=1e-03, wd=1e-04, bs=32)",0.8895305543985208,3.9965682641140976e-05,0.5654867599696309,0.33798048923645363,0.4581034038136907,64.0,0.001,0.0001,32.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=64,  lr=1e-03, wd=1e-04, bs=64)",0.8865875050535705,0.0019012110994704456,0.5635405346437762,0.35292540409657913,0.47804719324694256,64.0,0.001,0.0001,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=64,  lr=5e-04, wd=0e+00, bs=32)",0.8864648431785568,0.0009587805166939578,0.5592514172072542,0.36827394563256627,0.4934641240566022,64.0,0.0005,0.0,32.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=64,  lr=5e-04, wd=0e+00, bs=64)",0.882461605094206,0.0014406744713232889,0.547911088219494,0.3922278336744444,0.5201758767753215,64.0,0.0005,0.0,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=64,  lr=5e-04, wd=1e-04, bs=32)",0.8864363726961009,0.0009325716176614152,0.55944726643327,0.36941734724203307,0.49480772889268754,64.0,0.0005,0.0001,32.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=64,  lr=5e-04, wd=1e-04, bs=64)",0.8823892082517965,0.0013070037953674118,0.5467970619253125,0.39314829712945465,0.5212474905167066,64.0,0.0005,0.0001,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=128,  lr=1e-03, wd=0e+00, bs=32)",0.8923987937192737,0.0013146959061596242,0.5780121524703155,0.3126204759807648,0.431098319998496,128.0,0.001,0.0,32.0,2,,,,,True,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=128,  lr=1e-03, wd=0e+00, bs=64)",0.8920621022894256,0.0008089826910492315,0.5707082651257941,0.32924836050441814,0.4499982629124867,128.0,0.001,0.0,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=128,  lr=1e-03, wd=1e-04, bs=32)",0.8915098814307874,0.0003229658832427096,0.5829347125129807,0.3164232836076105,0.4351833185679622,128.0,0.001,0.0001,32.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
MLP,"MLP(h=128,  lr=1e-03, wd=1e-04, bs=64)",0.8917748739274824,0.0006950765140882331,0.5713223140173093,0.3301558382543649,0.45119913221118313,128.0,0.001,0.0001,64.0,2,,,,,False,True,Fixed explanation model,0.904961752147486,0.596061064407546,0.30823962778697667,0.42450316555952106
